timestamp,open,high,low,close,volume
2026-07-10 20:00:00+00:00,63924.0,63936.0,63663.3,63843.0,319.293835
2026-07-10 21:00:00+00:00,63843.0,64100.0,63837.9,64018.2,173.191611
2026-07-10 22:00:00+00:00,64018.2,64173.9,63990.0,64120.7,164.333235
2026-07-10 23:00:00+00:00,64120.7,64216.2,64024.8,64166.9,154.622499
2026-07-11 00:00:00+00:00,64166.9,64175.2,64032.3,64126.9,116.5201
2026-07-11 01:00:00+00:00,64126.9,64316.3,64008.3,64016.8,153.496109
2026-07-11 02:00:00+00:00,64016.8,64173.8,63985.7,64164.4,76.636188
2026-07-11 03:00:00+00:00,64164.4,64203.7,64070.4,64156.8,86.540427
2026-07-11 04:00:00+00:00,64156.8,64219.5,64082.5,64160.6,90.116089
2026-07-11 05:00:00+00:00,64160.6,64231.6,64124.2,64177.3,90.711463
2026-07-11 06:00:00+00:00,64177.3,64287.8,64129.0,64228.1,93.321647
2026-07-11 07:00:00+00:00,64228.1,64266.0,64158.9,64168.0,99.029878
2026-07-11 08:00:00+00:00,64168.0,64318.4,64162.6,64274.4,100.020788
2026-07-11 09:00:00+00:00,64274.4,64311.1,64170.0,64181.4,131.384888
2026-07-11 10:00:00+00:00,64181.4,64221.4,64149.5,64206.7,82.753766
2026-07-11 11:00:00+00:00,64206.7,64229.9,64175.7,64214.7,108.634218
2026-07-11 12:00:00+00:00,64214.7,64247.6,64149.1,64204.6,106.104789
2026-07-11 13:00:00+00:00,64204.6,64280.8,64178.6,64250.0,98.015603
2026-07-11 14:00:00+00:00,64250.0,64519.9,64250.0,64355.7,186.932343
2026-07-11 15:00:00+00:00,64355.7,64497.6,63900.6,64180.8,366.587212
2026-07-11 16:00:00+00:00,64180.8,64283.9,64090.5,64182.4,189.195168
2026-07-11 17:00:00+00:00,64182.4,64406.3,64167.3,64324.6,119.663357
2026-07-11 18:00:00+00:00,64324.6,64400.8,64290.6,64331.8,142.527604
2026-07-11 19:00:00+00:00,64331.8,64345.0,64239.0,64292.8,154.919043
2026-07-11 20:00:00+00:00,64292.8,64468.6,64292.7,64388.1,120.591776
2026-07-11 21:00:00+00:00,64388.1,64431.3,64335.6,64354.0,100.678544
2026-07-11 22:00:00+00:00,64354.0,64434.2,64150.0,64201.5,229.09317
2026-07-11 23:00:00+00:00,64201.5,64253.5,63818.7,63818.7,451.067458
2026-07-12 00:00:00+00:00,63818.7,63915.9,63699.5,63833.5,474.09981
2026-07-12 01:00:00+00:00,63833.5,64174.2,63816.9,64132.6,346.969501
2026-07-12 02:00:00+00:00,64132.6,64139.5,64036.3,64079.1,209.208923
2026-07-12 03:00:00+00:00,64079.1,64225.2,64040.3,64225.2,183.653788
2026-07-12 04:00:00+00:00,64225.2,64247.3,63941.4,63997.9,224.456282
2026-07-12 05:00:00+00:00,63997.9,64023.7,63903.4,63966.5,137.366008
2026-07-12 06:00:00+00:00,63966.5,63966.5,63636.4,63762.7,353.080977
2026-07-12 07:00:00+00:00,63762.7,63903.5,63740.8,63887.3,150.029426
2026-07-12 08:00:00+00:00,63887.3,64106.0,63886.4,63981.8,206.835844
2026-07-12 09:00:00+00:00,63981.8,64045.4,63765.8,63960.7,225.598027
2026-07-12 10:00:00+00:00,63960.7,63960.7,63840.6,63867.7,131.02288
2026-07-12 11:00:00+00:00,63867.7,64033.7,63826.0,64014.1,157.893253
2026-07-12 12:00:00+00:00,64014.1,64135.2,63974.9,64023.4,191.493263
2026-07-12 13:00:00+00:00,64023.4,64108.7,63993.2,64023.1,168.230977
2026-07-12 14:00:00+00:00,64023.1,64296.8,63961.8,64205.1,193.682391
2026-07-12 15:00:00+00:00,64205.1,64271.0,64121.1,64180.4,248.337028
2026-07-12 16:00:00+00:00,64180.4,64208.4,64043.7,64175.2,191.259353
2026-07-12 17:00:00+00:00,64175.2,64176.5,64027.0,64078.8,110.175644
2026-07-12 18:00:00+00:00,64078.8,64148.3,64015.5,64147.8,108.448632
2026-07-12 19:00:00+00:00,64147.8,64275.7,64147.7,64232.7,116.961853
2026-07-12 20:00:00+00:00,64232.7,64257.9,64175.6,64203.7,110.933236
2026-07-12 21:00:00+00:00,64203.7,64238.2,64052.5,64076.9,123.775797
