timestamp,open,high,low,close,volume
2026-07-25 13:34:00+00:00,64110.6,64124.7,64110.6,64124.7,1.9684
2026-07-25 13:35:00+00:00,64124.7,64124.7,64124.6,64124.7,0.074556
2026-07-25 13:36:00+00:00,64124.7,64124.7,64124.6,64124.6,0.073017
2026-07-25 13:37:00+00:00,64124.6,64124.7,64124.6,64124.6,0.457176
2026-07-25 13:38:00+00:00,64124.6,64126.7,64124.6,64126.6,1.016602
2026-07-25 13:39:00+00:00,64126.6,64141.1,64126.6,64135.3,3.253731
2026-07-25 13:40:00+00:00,64135.3,64171.8,64135.3,64171.7,2.387018
2026-07-25 13:41:00+00:00,64171.7,64195.0,64171.7,64179.6,4.609106
2026-07-25 13:42:00+00:00,64179.6,64179.7,64171.7,64175.0,1.898499
2026-07-25 13:43:00+00:00,64175.0,64191.1,64175.0,64186.8,4.515432
2026-07-25 13:44:00+00:00,64186.8,64190.4,64186.7,64190.4,0.361337
2026-07-25 13:45:00+00:00,64190.4,64236.6,64190.3,64226.3,13.037768
2026-07-25 13:46:00+00:00,64226.3,64259.4,64223.6,64238.7,7.006053
2026-07-25 13:47:00+00:00,64238.7,64238.8,64210.6,64224.9,3.563139
2026-07-25 13:48:00+00:00,64224.9,64235.5,64224.9,64230.2,2.279104
2026-07-25 13:49:00+00:00,64230.2,64263.4,64230.2,64235.4,9.214817
2026-07-25 13:50:00+00:00,64235.4,64235.5,64227.6,64227.6,2.159424
2026-07-25 13:51:00+00:00,64227.6,64227.7,64208.7,64208.7,6.376878
2026-07-25 13:52:00+00:00,64208.7,64218.6,64207.2,64207.2,3.236241
2026-07-25 13:53:00+00:00,64207.2,64207.2,64178.7,64197.2,6.432482
2026-07-25 13:54:00+00:00,64197.2,64197.2,64181.5,64181.6,1.686063
2026-07-25 13:55:00+00:00,64181.6,64181.6,64175.9,64175.9,0.492704
2026-07-25 13:56:00+00:00,64175.9,64175.9,64135.9,64145.6,5.072807
2026-07-25 13:57:00+00:00,64145.6,64145.7,64144.4,64145.6,1.342859
2026-07-25 13:58:00+00:00,64145.6,64146.2,64145.6,64146.1,0.449386
2026-07-25 13:59:00+00:00,64146.1,64176.3,64146.1,64168.3,6.575662
2026-07-25 14:00:00+00:00,64168.3,64168.4,64115.2,64115.2,10.979316
2026-07-25 14:01:00+00:00,64115.2,64126.1,64115.2,64120.2,3.970523
2026-07-25 14:02:00+00:00,64120.2,64127.4,64120.1,64127.4,1.221962
2026-07-25 14:03:00+00:00,64127.4,64127.4,64127.3,64127.4,0.120559
2026-07-25 14:04:00+00:00,64127.4,64127.4,64127.3,64127.4,0.053683
2026-07-25 14:05:00+00:00,64127.4,64154.2,64127.3,64154.1,1.495791
2026-07-25 14:06:00+00:00,64154.1,64154.2,64152.1,64152.2,0.288354
2026-07-25 14:07:00+00:00,64152.2,64152.2,64132.4,64145.3,3.280323
2026-07-25 14:08:00+00:00,64145.3,64157.7,64145.2,64157.7,1.068665
2026-07-25 14:09:00+00:00,64157.7,64174.0,64157.6,64174.0,0.937218
2026-07-25 14:10:00+00:00,64174.0,64177.2,64169.2,64169.2,2.016748
2026-07-25 14:11:00+00:00,64169.2,64169.2,64138.6,64149.9,7.134479
2026-07-25 14:12:00+00:00,64149.9,64150.0,64149.9,64149.9,0.433737
2026-07-25 14:13:00+00:00,64149.9,64158.1,64149.9,64158.1,0.71662
2026-07-25 14:14:00+00:00,64158.1,64168.7,64158.1,64168.6,0.795554
2026-07-25 14:15:00+00:00,64168.6,64179.5,64168.6,64179.4,0.629774
2026-07-25 14:16:00+00:00,64179.4,64179.4,64177.4,64177.5,1.61324
2026-07-25 14:17:00+00:00,64177.5,64177.5,64164.1,64164.2,1.613745
2026-07-25 14:18:00+00:00,64164.2,64164.2,64161.5,64161.5,0.48237
2026-07-25 14:19:00+00:00,64161.5,64162.3,64156.4,64162.2,2.160416
2026-07-25 14:20:00+00:00,64162.2,64164.3,64150.8,64150.8,1.760126
2026-07-25 14:21:00+00:00,64150.8,64150.9,64149.6,64149.7,0.522962
2026-07-25 14:22:00+00:00,64149.7,64149.7,64132.6,64135.8,2.746191
2026-07-25 14:23:00+00:00,64135.8,64140.7,64133.1,64140.7,3.553885
2026-07-25 14:24:00+00:00,64140.7,64148.0,64140.7,64148.0,0.962171
2026-07-25 14:25:00+00:00,64148.0,64148.0,64147.9,64147.9,0.03867
2026-07-25 14:26:00+00:00,64147.9,64148.0,64135.3,64135.3,2.660763
2026-07-25 14:27:00+00:00,64135.3,64147.9,64135.2,64147.9,1.491366
2026-07-25 14:28:00+00:00,64147.9,64158.5,64146.0,64158.5,1.627608
